i	N	C_MAX	costo_promedio	porcentaje_llenado	io_count	duracion_segundos
10	1024	10	9.94175	8.60215	2141	0
10	1024	100	100	50	2240	0
10	1024	500	411.6	72.7273	3093	0
10	1024	750	598.5	80	3428	0
10	1024	1024	894	80	3716	0
10	1024	2056	1716	88.8889	4465	0
10	1024	5000	4608	100	5640	0
10	1024	10000	4608	100	5640	0
11	2048	10	9.99024	8.69565	4280	0
11	2048	100	99.08	53.3333	4555	0
11	2048	500	482.333	72.7273	6411	0
11	2048	750	727	80	7157	0
11	2048	1024	971.833	84.2105	7898	0
11	2048	2056	1942.25	94.1176	9834	0
11	2048	5000	3660	94.1176	13045	0
11	2048	10000	6862.5	94.1176	15790	0
12	4096	10	9.99024	8.83978	8554	0
12	4096	100	99.36	50	9128	0
12	4096	500	491.944	78.0488	12992	0
12	4096	750	703.533	76.1905	14691	0
12	4096	1024	999.417	82.0513	16128	0
12	4096	2056	2044.5	88.8889	20488	0
12	4096	5000	4823.8	94.1176	28249	0
12	4096	10000	7997.25	96.9697	36118	0
13	8192	10	9.99024	8.85201	17107	0
13	8192	100	99.2376	49.6124	18344	0
13	8192	500	499.722	75.2941	26267	0
13	8192	750	735.966	79.0123	29616	0
13	8192	1024	1022.54	82.0513	32811	0
13	8192	2056	1973.71	87.6712	41818	0
13	8192	5000	4997.5	92.7536	58236	0
13	8192	10000	9750.43	94.1176	76513	0
14	16384	10	9.99634	8.92608	34202	0
14	16384	100	99.96	50.1961	36631	0
14	16384	500	498.603	74.8538	52953	0
14	16384	750	743.086	80	59643	0
14	16384	1024	1023.88	83.1169	65684	0
14	16384	2056	2004.85	87.6712	84695	0
14	16384	5000	4850.29	92.7536	118378	0
14	16384	10000	9472.73	93.4307	158612	0
15	32768	10	9.99939	8.91055	68409	1
15	32768	100	99.8722	49.8054	73131	1
15	32768	500	498.616	75.2941	105906	1
15	32768	750	747.422	80.5031	119787	1
15	32768	1024	1016.25	82.0513	131656	1
15	32768	2056	2038.52	87.6712	169641	1
15	32768	5000	4899.57	92.7536	238826	1
15	32768	10000	9864.86	94.8148	319119	1
16	65536	10	9.99939	8.85966	136851	2
16	65536	100	99.9277	50.3441	146695	2
16	65536	500	499.339	74.7445	212028	2
16	65536	750	749.671	80.2508	239348	2
16	65536	1024	1022.89	82.3151	264599	2
16	65536	2056	2055.26	88.4283	341520	2
16	65536	5000	4988.16	91.921	480110	2
16	65536	10000	9947.17	94.291	643015	2
17	131072	10	9.99939	8.87887	273677	4
17	131072	100	99.9956	50.3689	293198	4
17	131072	500	499.752	74.8538	424295	4
17	131072	750	748.855	80.9486	479057	4
17	131072	1024	1023.72	82.9822	530534	4
17	131072	2056	2052.63	87.897	682342	4
17	131072	5000	4982.68	92.4188	964288	4
17	131072	10000	9941.51	94.4649	1295313	4
18	262144	10	9.99977	8.85124	547426	7
18	262144	100	99.9913	50.27	586390	7
18	262144	500	499.693	75.3218	849504	8
18	262144	750	749.232	80.5665	959224	8
18	262144	1024	1022.87	82.6807	1060415	8
18	262144	2056	2053.64	88.0482	1365222	8
18	262144	5000	4999.12	92.2523	1929071	8
18	262144	10000	9990.65	94.4649	2592134	9
19	524288	10	9.99996	8.8478	1094870	15
19	524288	100	99.9998	50.0917	1173964	15
19	524288	500	499.927	75.1836	1699065	16
19	524288	750	749.613	80.8208	1919888	16
19	524288	1024	1023.65	82.2986	2120019	16
19	524288	2056	2054.88	88.0671	2731775	16
19	524288	5000	4999.08	92.3146	3863114	17
19	524288	10000	9993.77	94.5522	5185716	18
20	1048576	10	9.99996	8.87695	2189436	31
20	1048576	100	99.9997	50.1408	2348410	32
20	1048576	500	499.976	75.2734	3398349	34
20	1048576	750	749.975	80.7491	3838877	33
20	1048576	1024	1023.84	82.7893	4240564	33
20	1048576	2056	2055.35	88.2093	5466596	34
20	1048576	5000	4996.74	92.3563	7728098	35
20	1048576	10000	9997.54	94.5413	10384943	38
21	2097152	10	9.99996	8.87151	4378985	71
21	2097152	100	99.9986	50.1945	4696058	69
21	2097152	500	499.997	75.1249	6797437	70
21	2097152	750	749.94	80.773	7675992	67
21	2097152	1024	1023.87	82.6598	8484413	66
21	2097152	2056	2055.99	87.9111	10929814	68
21	2097152	5000	4999.17	92.2574	15462708	71
21	2097152	10000	9997.3	94.4976	20759451	76
22	4194304	10	9.99999	8.86345	8758306	125
22	4194304	100	100	50.1999	9391077	126
22	4194304	500	499.983	75.2319	13592041	130
22	4194304	750	749.979	80.7511	15354069	131
22	4194304	1024	1024	82.5848	16969448	134
22	4194304	2056	2055.83	88.0908	21858171	137
22	4194304	5000	4999.65	92.4214	30907877	144
22	4194304	10000	9998.29	94.5303	41542577	152
23	8388608	10	10	8.86725	17516295	250
23	8388608	100	99.9994	50.1684	18783782	261
23	8388608	500	499.995	75.2189	27185052	260
23	8388608	750	749.997	80.7292	30710199	264
23	8388608	1024	1023.99	82.6202	33936602	267
23	8388608	2056	2055.99	88.1085	43721098	277
23	8388608	5000	4999.59	92.3979	61835207	291
23	8388608	10000	9999.44	94.5685	83083763	310
24	16777216	10	10	8.86567	35032853	501
24	16777216	100	99.9997	50.213	37566394	506
24	16777216	500	499.994	75.2738	54367898	525
24	16777216	750	749.998	80.7432	61420456	532
24	16777216	1024	1023.98	82.6536	67874884	538
24	16777216	2056	2055.96	88.0204	87439259	556
24	16777216	5000	4999.98	92.3497	123648678	590
24	16777216	10000	9999.62	94.5167	166160255	631
